docs,corpus_size,vocabulary_size
932,500357,45365
933,501022,45381
934,501315,45396
935,501491,45409
936,501846,45432
937,506652,45611
938,507123,45622
939,507294,45632
940,508082,45656
941,508424,45677
942,508549,45679
943,509336,45708
944,509545,45724
945,509667,45724
946,510337,45783
947,510548,45787
948,510808,45802
949,511118,45808
950,511655,45880
951,512277,45904
952,513876,45986
953,514128,46000
954,515444,46050
955,515643,46057
956,515774,46060
957,516135,46070
958,516268,46072
959,516440,46077
960,518286,46162
961,518784,46181
962,519098,46205
963,519380,46260
964,520442,46296
965,520640,46301
966,520853,46349
967,521242,46362
968,521427,46368
969,522115,46394
970,522419,46408
971,522694,46441
972,523083,46468
973,524049,46496
974,524462,46546
975,525256,46590
976,525532,46598
977,525735,46606
978,526702,46653
979,527180,46673
980,527625,46680
981,527754,46684
982,528241,46729
983,528374,46731
984,528624,46748
985,528770,46753
986,528931,46755
987,529489,46763
988,530150,46799
989,530363,46807
990,530494,46812
991,530734,46820
992,531193,46836
993,531456,46843
994,531830,46862
995,532630,46919
996,532852,46930
997,533704,46985
998,534342,47026
999,534694,47032
1000,534883,47043
1001,535202,47052
1002,535847,47112
1003,536071,47119
1004,536572,47149
1005,536762,47194
1006,537049,47203
1007,538767,47279
1008,538905,47283
1009,539050,47287
1010,539438,47311
1011,539657,47317
1012,540743,47371
1013,540952,47376
1014,541068,47379
1015,541239,47388
1016,541427,47403
1017,541870,47441
1018,542035,47450
1019,542381,47473
1020,542529,47476
1021,545026,47561
1022,545429,47574
1023,545614,47584
1024,545954,47614
1025,546116,47616
1026,546432,47625
1027,547600,47676
1028,548249,47696
1029,548433,47699
1030,549258,47733
1031,549958,47750
1032,550494,47765
1033,550994,47818
1034,551545,47885
1035,552042,47897
1036,552572,47904
1037,552734,47907
1038,553760,47943
1039,553982,47955
1040,554164,47964
1041,554747,47996
1042,556281,48084
1043,558457,48182
1044,559241,48262
1045,560101,48294
1046,560245,48296
1047,561384,48422
1048,561501,48432
1049,561803,48444
1050,562123,48455
1051,562514,48477
1052,562749,48484
1053,562909,48490
1054,563163,48507
1055,563357,48517
1056,564174,48540
1057,565739,48634
1058,566062,48679
1059,566194,48682
1060,566540,48701
1061,567456,48741
1062,567666,48746
1063,567908,48754
1064,568248,48771
1065,568402,48771
1066,568523,48779
1067,568728,48793
1068,569001,48802
1069,569224,48808
1070,572514,48877
1071,573256,48906
1072,573721,48930
1073,574021,48939
1074,574157,48943
1075,574355,48952
1076,574837,48994
1077,575158,49014
1078,575644,49106
1079,576931,49222
1080,577135,49247
1081,577758,49347
1082,578559,49361
1083,578688,49363
1084,579028,49393
1085,579190,49401
1086,580004,49439
1087,580191,49447
1088,580391,49457
1089,580572,49461
1090,582062,49585
1091,582618,49691
1092,583086,49712
1093,583216,49715
1094,583447,49741
1095,583740,49768
1096,584018,49774
1097,584212,49784
1098,585112,49886
1099,585409,49893
1100,585616,49894
1101,586040,49909
1102,586566,49960
1103,586749,49971
1104,587027,49982
1105,588816,50045
1106,591363,50121
1107,591617,50131
1108,591839,50134
1109,592248,50151
1110,592796,50181
1111,592977,50200
1112,593729,50231
1113,593935,50244
1114,594085,50247
1115,594379,50276
1116,595070,50315
1117,595245,50322
1118,595518,50390
1119,595741,50398
1120,596074,50425
1121,596464,50432
1122,596723,50442
1123,596945,50453
1124,597166,50464
1125,597405,50493
1126,597588,50501
1127,597816,50515
1128,598114,50524
1129,598427,50532
1130,598613,50550
1131,598892,50562
1132,599743,50701
1133,600160,50708
1134,600326,50715
1135,600494,50738
1136,600621,50740
1137,600911,50763
1138,601119,50770
1139,601229,50770
1140,601549,50803
1141,601806,50811
1142,602053,50814
1143,602421,50824
1144,602671,50838
1145,602976,50866
1146,603481,50899
1147,603769,50926
1148,604706,50971
1149,604916,50975
1150,605121,50981
1151,605391,50993
1152,606044,51030
1153,606243,51038
1154,606372,51045
1155,606486,51046
1156,606692,51080
1157,607645,51118
1158,607824,51125
1159,607968,51128
1160,610453,51266
1161,610655,51270
1162,611448,51333
1163,611627,51340
1164,611796,51343
1165,611910,51344
1166,612162,51353
1167,614144,51447
1168,614455,51464
1169,614829,51493
1170,614994,51515
1171,615187,51519
1172,615794,51577
1173,615924,51580
1174,616106,51585
1175,616371,51640
1176,616541,51642
1177,616676,51643
1178,616999,51686
1179,617351,51732
1180,617494,51740
1181,617702,51745
1182,618210,51763
1183,619015,51788
1184,619220,51795
1185,619622,51879
1186,619881,51895
1187,620364,51907
1188,620584,51910
1189,620769,51918
1190,620905,51920
1191,622587,51995
1192,622824,52013
1193,623668,52041
1194,624222,52056
1195,625009,52083
1196,625193,52088
1197,625631,52181
1198,626288,52208
1199,626891,52241
1200,627014,52250
1201,627459,52279
1202,627760,52286
1203,627904,52288
1204,628155,52296
1205,628504,52329
1206,628924,52335
1207,629222,52343
1208,629812,52368
1209,630101,52378
1210,630401,52442
1211,631035,52468
1212,631884,52563
1213,632069,52567
1214,632346,52577
1215,632788,52630
1216,633184,52650
1217,633980,52674
1218,634121,52678
1219,634244,52681
1220,634450,52699
1221,634651,52704
1222,635136,52724
1223,636485,52788
1224,636886,52946
1225,637171,52953
1226,637341,52960
1227,637888,53002
1228,638199,53010
1229,638418,53013
1230,638873,53039
1231,639058,53042
1232,639281,53053
1233,639551,53067
1234,639698,53078
1235,640152,53104
1236,640296,53108
1237,640453,53114
1238,640893,53134
1239,643060,53214
1240,643239,53222
1241,649126,53418
1242,649273,53422
1243,649458,53466
1244,649596,53468
1245,650344,53502
1246,650452,53502
1247,650597,53504
1248,651150,53533
1249,651449,53546
1250,651582,53550
1251,652547,53595
1252,652663,53596
1253,653162,53618
1254,653372,53631
1255,653574,53637
1256,653762,53645
1257,654187,53665
1258,654715,53715
1259,656750,53786
1260,657004,53797
1261,657444,53809
1262,657577,53811
1263,657849,53826
1264,658089,53842
1265,658476,53851
1266,659206,53882
1267,659448,53885
1268,659685,53898
1269,660265,53915
1270,660887,53954
1271,661269,53982
1272,661849,54061
1273,662019,54084
1274,662327,54240
1275,663009,54285
1276,663350,54300
1277,663699,54323
1278,666157,54394
1279,666323,54413
1280,666877,54444
1281,666997,54445
1282,667169,54451
1283,667491,54458
1284,667652,54470
1285,667829,54479
1286,668254,54487
1287,668780,54654
1288,669298,54656
1289,669445,54660
1290,670157,54693
1291,670320,54703
1292,670630,54724
1293,671224,54800
1294,672201,54917
1295,672515,54971
1296,672743,54981
1297,673351,54991
1298,673984,55032
1299,674564,55062
1300,674704,55070
1301,676494,55211
1302,677052,55235
1303,677283,55242
1304,677431,55248
1305,677727,55257
1306,678247,55269
1307,678788,55293
1308,679135,55374
1309,679450,55396
1310,680274,55465
1311,680434,55471
1312,680637,55489
1313,682242,55663
1314,682843,55684
1315,683008,55690
1316,683264,55696
1317,683387,55696
1318,683953,55714
1319,684306,55727
1320,684403,55731
1321,684656,55738
1322,684969,55749
1323,685288,55776
1324,685564,55787
1325,686813,55827
1326,686940,55827
1327,687163,55874
1328,687390,55880
1329,687826,55910
1330,688125,55925
1331,688332,55930
1332,688639,55951
1333,688807,55958
1334,689144,55970
1335,689363,55975
1336,689725,56026
1337,689905,56031
1338,690092,56036
1339,690214,56037
1340,690329,56037
1341,690756,56234
1342,691198,56513
1343,691922,56555
1344,692167,56559
1345,692509,56565
1346,693085,56587
1347,693196,56588
1348,693393,56595
1349,693645,56597
1350,693761,56598
1351,693885,56598
1352,694010,56599
1353,694482,56644
1354,694765,56652
1355,695528,56672
1356,695868,56792
1357,696022,56794
1358,696226,56797
1359,696379,56805
1360,696964,56949
1361,697198,56955
1362,697598,56972
1363,697950,56982
1364,698434,56985
1365,699334,57025
1366,699492,57027
1367,699613,57029
1368,699726,57032
1369,699871,57063
1370,700026,57077
1371,701459,57256
1372,701917,57267
1373,702091,57268
1374,702283,57293
1375,702486,57310
1376,702963,57325
1377,703950,57359
1378,704627,57392
1379,704800,57418
1380,704999,57428
1381,706013,57465
1382,706523,57480
1383,706742,57495
1384,707531,57537
1385,707972,57560
1386,708576,57580
