docs,corpus_size,vocabulary_size
595,300665,33147
596,301138,33376
597,301300,33388
598,301753,33417
599,302021,33425
600,303299,33594
601,303816,33638
602,304147,33671
603,304783,33705
604,305181,33722
605,305596,33764
606,305705,33768
607,306097,33932
608,306697,34128
609,306928,34139
610,307084,34144
611,307376,34174
612,307517,34177
613,307676,34183
614,308022,34205
615,308536,34244
616,308769,34261
617,308928,34269
618,309898,34341
619,310212,34360
620,311614,34550
621,312354,34668
622,312602,34688
623,312825,34708
624,313027,34718
625,313264,34734
626,313576,34745
627,313880,34757
628,314149,34769
629,314306,34776
630,314743,35054
631,315486,35085
632,315589,35088
633,315733,35095
634,315926,35109
635,316172,35125
636,316300,35125
637,316450,35128
638,316770,35217
639,317002,35236
640,317632,35289
641,318150,35321
642,318487,35341
643,318662,35344
644,318932,35396
645,320015,35462
646,320277,35481
647,320724,35514
648,322101,35569
649,324093,35679
650,324299,35732
651,324862,35768
652,325445,35795
653,325761,35815
654,325886,35817
655,326065,35824
656,326251,35830
657,326547,35840
658,326963,35864
659,327272,35968
660,327375,35970
661,327665,35974
662,327929,35986
663,328125,35995
664,328596,36019
665,328797,36037
666,329733,36081
667,330029,36100
668,330469,36118
669,331079,36188
670,332137,36264
671,333245,36365
672,333472,36393
673,333652,36438
674,334677,36492
675,335107,36512
676,335292,36516
677,335705,36564
678,336249,36599
679,336537,36628
680,336803,36634
681,337256,36674
682,337472,36680
683,337804,36700
684,338003,36704
685,338137,36715
686,338367,36728
687,338489,36729
688,338616,36737
689,338900,36750
690,339647,36779
691,340090,36813
692,343431,36983
693,343713,37005
694,343995,37016
695,344233,37025
696,344450,37037
697,344856,37051
698,345050,37055
699,345298,37069
700,345838,37110
701,346210,37131
702,346536,37140
703,346685,37154
704,347135,37172
705,353321,37538
706,353536,37545
707,353735,37550
708,353862,37552
709,354305,37608
710,354942,37641
711,355364,37661
712,355594,37676
713,355810,37689
714,355989,37695
715,356240,37715
716,356637,37738
717,357522,37830
718,357684,37836
719,358250,37872
720,358386,37875
721,359012,37921
722,359577,38000
723,359849,38013
724,360093,38036
725,362404,38139
726,362965,38170
727,363608,38193
728,363944,38213
729,364370,38229
730,365309,38304
731,365558,38323
732,365788,38350
733,366806,38431
734,367496,38462
735,367611,38463
736,368067,38492
737,368227,38500
738,368837,38536
739,368981,38537
740,369196,38542
741,369726,38559
742,370069,38570
743,370285,38577
744,370395,38577
745,370555,38583
746,371080,38601
747,371589,38646
748,371778,38653
749,371973,38655
750,372154,38658
751,372346,38682
752,372485,38684
753,372676,38701
754,373041,38730
755,373215,38735
756,373557,38754
757,373860,38769
758,374077,38831
759,374230,38836
760,374429,38849
761,374598,38864
762,374759,38873
763,374953,38878
764,375232,38907
765,375483,38946
766,376747,39019
767,376952,39027
768,377227,39038
769,377568,39053
770,378351,39437
771,378968,39472
772,379452,39509
773,380072,39547
774,380460,39566
775,380592,39569
776,380946,39590
777,381548,39606
778,382015,39621
779,382236,39638
780,382698,39642
781,382823,39645
782,383749,39700
783,384272,39729
784,384531,39739
785,384666,39744
786,384820,39758
787,385205,39787
788,386782,39955
789,387538,39986
790,387827,39993
791,389223,40038
792,389455,40041
793,389666,40055
794,389946,40069
795,391179,40131
796,392103,40173
797,392432,40183
798,392787,40207
799,393243,40255
800,394278,40318
801,395162,40397
802,395753,40445
803,396235,40459
804,397747,40549
805,398090,40606
806,398337,40657
807,398884,40686
808,399413,40715
809,399661,40721
810,399786,40728
811,400010,40800
812,400139,40803
813,400424,40809
814,400709,40822
815,401335,40863
816,401661,40927
817,402008,40943
818,402798,40958
819,403031,40967
820,403974,41062
821,404136,41069
822,404491,41075
823,404751,41092
824,405605,41157
825,405812,41231
826,406156,41281
827,406487,41293
828,406981,41324
829,407724,41355
830,408474,41550
831,408593,41555
832,408851,41566
833,408971,41568
834,409094,41570
835,409348,41583
836,409555,41591
837,409793,41605
838,410313,41617
839,411044,41652
840,411691,41875
841,412108,41891
842,421288,42476
843,421652,42494
844,421793,42501
845,422173,42528
846,422425,42552
847,423062,42572
848,424011,42622
849,424211,42629
850,424798,42657
851,426773,42794
852,426961,42797
853,427787,42813
854,427972,42841
855,428237,42845
856,428622,42886
857,428767,42889
858,429076,42897
859,429270,42907
860,430416,42960
861,430645,42969
862,431271,43091
863,431946,43116
864,434183,43260
865,435649,43363
866,435822,43364
867,437929,43510
868,438104,43514
869,438375,43526
870,438582,43533
871,439096,43550
872,440407,43601
873,440767,43610
874,441535,43645
875,441852,43669
876,442149,43684
877,442339,43692
878,443056,43721
879,443491,43751
880,443624,43754
881,443922,43763
882,444178,43771
883,444321,43771
884,444873,43814
885,445163,43832
886,445488,43904
887,445637,43914
888,445825,43917
889,447351,44072
890,447665,44091
891,447864,44109
892,448026,44113
893,448379,44133
894,448530,44136
895,448656,44140
896,448812,44146
897,449323,44194
898,449597,44214
899,449899,44224
900,450083,44227
901,450327,44238
902,450507,44247
903,450671,44251
904,451194,44279
905,451548,44300
906,451711,44307
907,451873,44312
908,452142,44334
909,453327,44339
910,453564,44400
911,453777,44408
912,453897,44409
913,458366,44692
914,458687,44701
915,458882,44708
916,459121,44735
917,459287,44738
918,459467,44746
919,459719,44831
920,459841,44834
921,460135,44844
922,460436,44954
923,460711,45077
924,460881,45082
925,461115,45092
926,461270,45098
927,461404,45099
928,462060,45143
929,462363,45176
930,462537,45180
931,462724,45185
932,463270,45203
933,463480,45241
934,463643,45248
935,464206,45283
936,464435,45295
937,464658,45298
938,467345,45493
939,467523,45497
940,467722,45505
941,467915,45509
942,468086,45516
943,468214,45525
944,468392,45539
945,468615,45544
946,470126,45599
947,470555,45640
948,470793,45657
949,470931,45658
950,472869,45778
951,473812,45832
952,474010,45842
953,474447,45866
954,474725,45876
955,475021,45895
956,475507,45913
957,476059,45993
958,477889,46094
959,478215,46104
960,479329,46149
961,479464,46154
962,480864,46217
963,481027,46221
964,481262,46226
965,481508,46236
966,482349,46525
967,482524,46529
968,482680,46534
969,482972,46540
970,483647,46582
971,483807,46588
972,484282,46610
973,484658,46634
974,484843,46642
975,484989,46651
976,485270,46671
977,485511,46673
978,486935,46816
979,487534,46858
980,487711,46873
981,487816,46876
982,488059,46885
983,488747,46903
984,489037,46917
985,489206,46925
986,489343,46930
987,489697,46944
988,489945,46956
989,490171,46970
990,490647,46979
991,491593,47057
992,492597,47343
993,493095,47356
994,493494,47363
995,493943,47398
996,494542,47419
997,495070,47434
998,495305,47444
999,495881,47525
1000,496224,47531
1001,496386,47535
1002,496560,47538
1003,496710,47543
1004,496864,47549
1005,497549,47580
1006,497701,47587
1007,497829,47588
1008,498088,47593
1009,499260,47658
1010,499545,47679
1011,499856,47697
1012,500181,47733
1013,500376,47739
1014,501486,47813
1015,501655,47819
1016,501909,47825
1017,502171,47831
1018,502349,47834
1019,503059,47884
1020,503213,47890
1021,503356,47909
1022,503823,47936
1023,503957,47942
1024,504675,48028
1025,504789,48030
1026,505049,48052
1027,505169,48055
1028,505613,48103
1029,505817,48106
1030,505935,48107
1031,506156,48120
1032,506579,48141
1033,506890,48165
1034,507740,48209
1035,508178,48229
1036,508317,48231
1037,509032,48255
1038,509508,48271
1039,509717,48285
1040,510027,48290
1041,511167,48356
1042,511695,48376
1043,512314,48400
1044,512799,48417
1045,513432,48435
1046,513636,48444
1047,514116,48463
1048,514329,48476
1049,515500,48526
1050,515754,48530
1051,516244,48547
1052,516394,48556
1053,516591,48571
1054,516793,48649
1055,517078,48669
1056,517261,48675
1057,517533,48699
1058,517884,48714
1059,518980,49232
1060,523063,49644
1061,523379,49651
1062,524625,49703
1063,525095,49722
1064,525454,49754
1065,525596,49758
1066,525799,49766
1067,526016,49773
1068,526177,49777
1069,526378,49780
1070,527261,49843
1071,527545,49851
1072,527930,49899
1073,528089,49907
1074,530281,50115
1075,530695,50148
1076,531253,50172
1077,531520,50259
1078,531727,50274
1079,532354,50322
1080,532596,50334
1081,532946,50354
1082,533257,50363
1083,533817,50397
1084,534035,50427
1085,534282,50435
1086,536364,50499
1087,536484,50502
1088,536905,50522
1089,537367,50535
1090,537816,50573
1091,542573,50817
1092,542692,50823
1093,543015,50850
1094,543495,50874
1095,544551,50937
1096,544782,50943
1097,545114,50950
1098,545578,50968
1099,545805,50987
1100,546443,51057
1101,546691,51066
1102,546836,51072
1103,548926,51152
1104,549199,51161
1105,549327,51161
1106,549484,51168
1107,549844,51204
1108,550160,51214
1109,550827,51257
1110,550986,51267
1111,551155,51273
1112,552852,51590
1113,553020,51595
1114,553325,51609
1115,553852,51728
1116,554741,51759
1117,555103,51767
1118,555438,51771
1119,555570,51776
1120,555990,51793
1121,556189,51802
1122,556579,51822
1123,557159,51862
1124,557420,51901
1125,557681,51911
1126,557799,51916
1127,558667,52022
1128,559464,52058
1129,559926,52103
1130,560262,52140
1131,560502,52198
1132,561795,52266
1133,561921,52270
1134,562152,52278
1135,562405,52287
1136,562582,52299
1137,562872,52306
1138,563870,52341
1139,566020,52508
1140,566133,52511
1141,566481,52546
1142,566719,52558
1143,567118,52584
1144,567730,52635
1145,567948,52644
1146,568594,52682
